,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
154,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1231309,megawatthours
155,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1229150,megawatthours
156,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1205579,megawatthours
157,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1207332,megawatthours
158,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1209466,megawatthours
159,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1205579,megawatthours
160,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1203561,megawatthours
161,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-5090,megawatthours
162,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-5072,megawatthours
163,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-5001,megawatthours
164,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-5090,megawatthours
165,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-5085,megawatthours
166,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1211418,megawatthours
167,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1208736,megawatthours
168,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1205850,megawatthours
169,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1211418,megawatthours
170,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1213645,megawatthours
171,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1210114,megawatthours
172,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1207899,megawatthours
173,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1205457,megawatthours
174,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1210114,megawatthours
175,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1212016,megawatthours
176,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1208273,megawatthours
177,2024-11-07,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1205651,megawatthours
